lat,lon,elevation
52.32043020,-8.51642560,294.00
52.32043690,-8.51625130,294.00
52.32040940,-8.51615850,294.00
52.32033430,-8.51610310,294.00
52.32013020,-8.51600500,294.00
52.31993900,-8.51595510,294.00
52.31982360,-8.51589590,294.00
52.31978990,-8.51586150,294.00
52.31977710,-8.51582400,294.00
52.31980210,-8.51576230,294.00
52.31978210,-8.51570870,294.00
52.31973830,-8.51566640,294.00
52.31965840,-8.51558790,294.00
52.31961170,-8.51550710,294.00
52.31951310,-8.51532500,294.00
52.31942100,-8.51514500,294.00
52.31935670,-8.51502450,294.00
52.31934870,-8.51500950,294.00
52.31933190,-8.51497800,294.00
52.31923110,-8.51482490,294.00
52.31919120,-8.51478210,294.00
52.31907240,-8.51465470,294.00
52.31884480,-8.51427890,268.00
52.31865980,-8.51407480,301.00
52.31843280,-8.51388660,301.00
52.31833510,-8.51388170,301.00
52.31815130,-8.51383060,301.00
52.31801860,-8.51382640,301.00
52.31789480,-8.51380310,301.00
52.31782890,-8.51380800,301.00
52.31780320,-8.51377040,301.00
52.31779710,-8.51367120,301.00
52.31779630,-8.51363550,301.00
52.31781260,-8.51348600,301.00
52.31784360,-8.51337270,301.00
52.31788340,-8.51321910,301.00
52.31788300,-8.51305270,301.00
52.31781760,-8.51290990,301.00
52.31779560,-8.51275530,301.00
52.31781460,-8.51247230,293.00
52.31786650,-8.51227230,293.00
52.31796430,-8.51190650,293.00
52.31802280,-8.51160160,293.00
52.31805070,-8.51120540,293.00
52.31800130,-8.51044090,293.00
52.31792350,-8.51014810,281.00
52.31787820,-8.50981540,281.00
52.31783050,-8.50957190,281.00
52.31767240,-8.50918310,281.00
52.31758990,-8.50877030,281.00
52.31762720,-8.50838080,281.00
52.31754040,-8.50807840,265.00
52.31743500,-8.50746230,265.00
52.31742550,-8.50731770,265.00
52.31745980,-8.50725330,265.00
52.31750260,-8.50722430,265.00
52.31752690,-8.50717570,265.00
52.31751920,-8.50711130,265.00
52.31747950,-8.50693420,265.00
52.31737550,-8.50655470,265.00
52.31732070,-8.50623870,248.00
52.31724840,-8.50571250,248.00
52.31712320,-8.50515900,248.00
52.31708580,-8.50502430,248.00
52.31709220,-8.50496800,248.00
52.31711870,-8.50496630,248.00
52.31717220,-8.50502760,248.00
52.31726920,-8.50519110,248.00
52.31744720,-8.50548860,248.00
52.31773240,-8.50614130,248.00
52.31791290,-8.50675930,265.00
52.31802790,-8.50706240,265.00
52.31819660,-8.50736660,265.00
52.31834220,-8.50787570,265.00
52.31852500,-8.50823320,265.00
52.31880030,-8.50887370,233.00
52.31886540,-8.50917760,233.00
52.31893690,-8.50923150,233.00
52.31894320,-8.50916720,233.00
52.31895670,-8.50902790,233.00
52.31895240,-8.50851640,233.00
52.31895130,-8.50833070,221.00
52.31896110,-8.50822880,221.00
52.31897040,-8.50820120,221.00
52.31898740,-8.50819540,221.00
52.31904480,-8.50825760,221.00
52.31912020,-8.50835980,233.00
52.31915790,-8.50844900,233.00
52.31918780,-8.50847830,233.00
52.31922830,-8.50846270,233.00
52.31924980,-8.50839560,233.00
52.31927800,-8.50825450,221.00
52.31929070,-8.50811340,221.00
52.31927300,-8.50785750,221.00
52.31926830,-8.50761850,221.00
52.31921350,-8.50745680,221.00
